,precision,recall,f1-score,support
Actinic Keratoses,0.0,0.0,0.0,17.0
Basal Cell Carcinoma,0.0,0.0,0.0,17.0
Benign Keratosis-like Lesions,0.0,0.0,0.0,18.0
Dermatofibroma,0.0,0.0,0.0,17.0
Melanoma,0.1487603305785124,1.0,0.2589928057553957,18.0
Melanocytic Nevi,0.0,0.0,0.0,17.0
Vascular Lesions,0.0,0.0,0.0,17.0
accuracy,0.1487603305785124,0.1487603305785124,0.1487603305785124,0.1487603305785124
macro avg,0.021251475796930343,0.14285714285714285,0.03699897225077081,121.0
weighted avg,0.02212963595382829,0.1487603305785124,0.03852785540162911,121.0
