                             , precision         , recall             , f1-score           , support
Actinic Keratoses            , 0.4090909090909091, 0.5510204081632653 , 0.46956521739130436,   49.0
Basal Cell Carcinoma         , 0.5294117647058824, 0.23376623376623376, 0.32432432432432434,   77.0
Benign Keratosis-like Lesions, 0.4742268041237113, 0.2787878787878788 , 0.3511450381679389 ,  165.0
Dermatofibroma               , 0.0               , 0.0                , 0.0                ,   17.0
Melanoma                     , 0.4166666666666667, 0.5089820359281437 , 0.4582210242587601 ,  167.0
Melanocytic Nevi             , 0.8438934802571166, 0.9135188866799204 , 0.8773269689737471 , 1006.0
Vascular Lesions             , 0.5384615384615384, 0.3181818181818182 , 0.4                ,   22.0
accuracy                     , 0.7332002661343978, 0.7332002661343978 , 0.7332002661343978 ,    0.7332002661343978
macro avg                    , 0.4588215947579749, 0.40060818021532285, 0.4115117961594392 , 1503.0
weighted avg                 , 0.7115395285604567, 0.7332002661343978 , 0.7144607064282497 , 1503.0
