,precision,recall,f1-score,support
Actinic Keratoses,0.3,0.5294117647058824,0.3829787234042553,17.0
Basal Cell Carcinoma,0.25806451612903225,0.47058823529411764,0.3333333333333333,17.0
Benign Keratosis-like Lesions,0.2857142857142857,0.1111111111111111,0.16,18.0
Dermatofibroma,0.5,0.17647058823529413,0.2608695652173913,17.0
Melanoma,0.375,0.3333333333333333,0.35294117647058826,18.0
Melanocytic Nevi,0.5833333333333334,0.4117647058823529,0.4827586206896552,17.0
Vascular Lesions,0.6842105263157895,0.7647058823529411,0.7222222222222222,17.0
accuracy,0.39669421487603307,0.39669421487603307,0.39669421487603307,0.39669421487603307
macro avg,0.42661752307034867,0.39962651727357607,0.3850148059053494,121.0
weighted avg,0.4250264424056676,0.39669421487603307,0.38289010809262125,121.0
