,precision,recall,f1-score,support
Actinic Keratoses,0.2222222222222222,0.11764705882352941,0.15384615384615385,17.0
Basal Cell Carcinoma,0.21428571428571427,0.17647058823529413,0.1935483870967742,17.0
Benign Keratosis-like Lesions,0.2857142857142857,0.3333333333333333,0.3076923076923077,18.0
Dermatofibroma,0.0,0.0,0.0,17.0
Melanoma,0.14814814814814814,0.4444444444444444,0.2222222222222222,18.0
Melanocytic Nevi,0.375,0.17647058823529413,0.24,17.0
Vascular Lesions,0.13333333333333333,0.11764705882352941,0.125,17.0
accuracy,0.19834710743801653,0.19834710743801653,0.19834710743801653,0.19834710743801653
macro avg,0.19695767195767194,0.19514472455648926,0.17747272440820824,121.0
weighted avg,0.19728781319690408,0.19834710743801653,0.17891874987182904,121.0
