,precision,recall,f1-score,support
akiec,0.47058823529411764,0.12307692307692308,0.1951219512195122,65.0
bcc,0.3333333333333333,0.2912621359223301,0.31088082901554404,103.0
bkl,0.46153846153846156,0.16363636363636364,0.24161073825503357,220.0
df,0.0,0.0,0.0,23.0
mel,0.3076923076923077,0.10762331838565023,0.15946843853820597,223.0
nv,0.7341407151095732,0.9492915734526473,0.8279674796747968,1341.0
vasc,0.8333333333333334,0.17857142857142858,0.29411764705882354,28.0
accuracy,0.6869695456814778,0.6869695456814778,0.6869695456814778,0.6869695456814778
macro avg,0.4486609123287324,0.25906596329219184,0.289881011965988,2003.0
weighted avg,0.6205149511116166,0.6869695456814778,0.62504201736872,2003.0
