,precision,recall,f1-score,support
Actinic Keratoses,0.75,0.35294117647058826,0.48,17.0
Basal Cell Carcinoma,0.6111111111111112,0.6470588235294118,0.6285714285714286,17.0
Benign Keratosis-like Lesions,0.4444444444444444,0.6666666666666666,0.5333333333333333,18.0
Dermatofibroma,0.5,0.29411764705882354,0.37037037037037035,17.0
Melanoma,0.46153846153846156,0.6666666666666666,0.5454545454545454,18.0
Melanocytic Nevi,0.6153846153846154,0.47058823529411764,0.5333333333333333,17.0
Vascular Lesions,0.8421052631578947,0.9411764705882353,0.8888888888888888,17.0
accuracy,0.5785123966942148,0.5785123966942148,0.5785123966942148,0.5785123966942148
macro avg,0.6035119850909325,0.5770308123249299,0.5685645571359856,121.0
weighted avg,0.6010240424116022,0.5785123966942148,0.5680823981650428,121.0
