,precision,recall,f1-score,support
Actinic Keratoses,0.5,0.23529411764705882,0.32,17.0
Basal Cell Carcinoma,0.5,0.47058823529411764,0.48484848484848486,17.0
Benign Keratosis-like Lesions,0.35,0.3888888888888889,0.3684210526315789,18.0
Dermatofibroma,0.4166666666666667,0.29411764705882354,0.3448275862068966,17.0
Melanoma,0.41379310344827586,0.6666666666666666,0.5106382978723404,18.0
Melanocytic Nevi,0.5238095238095238,0.6470588235294118,0.5789473684210527,17.0
Vascular Lesions,0.8666666666666667,0.7647058823529411,0.8125,17.0
accuracy,0.49586776859504134,0.49586776859504134,0.49586776859504134,0.49586776859504134
macro avg,0.5101337086558762,0.4953314659197012,0.4885975414257648,121.0
weighted avg,0.5080140862272524,0.49586776859504134,0.487786502315454,121.0
