,precision,recall,f1-score,support
akiec,0.6410256410256411,0.38461538461538464,0.4807692307692308,65.0
bcc,0.46551724137931033,0.2621359223300971,0.33540372670807456,103.0
bkl,0.528169014084507,0.3409090909090909,0.4143646408839779,220.0
df,1.0,0.043478260869565216,0.08333333333333333,23.0
mel,0.5317460317460317,0.3004484304932735,0.3839541547277937,223.0
nv,0.7903126916002452,0.9612229679343773,0.8674293405114402,1341.0
vasc,1.0,0.21428571428571427,0.35294117647058826,28.0
accuracy,0.7438841737393909,0.7438841737393909,0.7438841737393909,0.7438841737393909
macro avg,0.7081100885479622,0.3581565387767861,0.4168850862006341,2003.0
weighted avg,0.716525616646341,0.7438841737393909,0.7077385654435294,2003.0
