,precision,recall,f1-score,support
Actinic Keratoses,0.2413793103448276,0.4117647058823529,0.3043478260869565,17.0
Basal Cell Carcinoma,0.3333333333333333,0.23529411764705882,0.27586206896551724,17.0
Benign Keratosis-like Lesions,0.36363636363636365,0.2222222222222222,0.27586206896551724,18.0
Dermatofibroma,0.6923076923076923,0.5294117647058824,0.5999999999999999,17.0
Melanoma,0.5294117647058824,0.5,0.5142857142857143,18.0
Melanocytic Nevi,0.47058823529411764,0.47058823529411764,0.47058823529411764,17.0
Vascular Lesions,0.6363636363636364,0.8235294117647058,0.717948717948718,17.0
accuracy,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453
macro avg,0.46671719085512187,0.45611577964519145,0.45127066164950586,121.0
weighted avg,0.4663834201661302,0.45454545454545453,0.450341789417706,121.0
