,precision,recall,f1-score,support
Actinic Keratoses,0.4,0.47058823529411764,0.43243243243243246,17.0
Basal Cell Carcinoma,0.45,0.5294117647058824,0.4864864864864865,17.0
Benign Keratosis-like Lesions,0.3333333333333333,0.3333333333333333,0.3333333333333333,18.0
Dermatofibroma,0.6363636363636364,0.4117647058823529,0.5,17.0
Melanoma,0.42857142857142855,0.5,0.46153846153846156,18.0
Melanocytic Nevi,0.5294117647058824,0.5294117647058824,0.5294117647058824,17.0
Vascular Lesions,1.0,0.8235294117647058,0.9032258064516129,17.0
accuracy,0.512396694214876,0.512396694214876,0.512396694214876,0.512396694214876
macro avg,0.5396685947106115,0.5140056022408963,0.5209183264211728,121.0
weighted avg,0.53704518621874,0.512396694214876,0.5188772945371185,121.0
